title,website_url,source,grades_or_ages,prices_mentioned,description
Eric Carle's Animals Animals,https://www.mfwbooks.com/item/72308/,My Father's World,Grade 1,$10.99,Eric Carle's Animals Animals
Eric Liddell,https://www.mfwbooks.com/item/16311/,My Father's World,Grade 9,$10.00,Eric Liddell
Experiencing God: Adult Edition,https://www.mfwbooks.com/item/17806/,My Father's World,Grade 10,$21.99,Experiencing God: Adult Edition
Exploration to 1850 Package,https://www.mfwbooks.com/item/95401/,My Father's World,"Grade 1, Grade 10, Grade 11, Grade 12, Grade 2, Grade 3, Grade 6, Grade 9, Grades 2-6, Grades 4-8, Grades 7-12, Grades 9-12, Grades K-3, Kindergarten, Preschool, Grades 5-9",$447.05-$525.94,Exploration to 1850 Package
Exploration to 1850 Teacher's Manual,https://www.mfwbooks.com/item/95402/,My Father's World,Grades 5-9,$144.45,Exploration to 1850 Teacher's Manual
"Exploring American History, 2nd Edition",https://www.mfwbooks.com/item/14707/,My Father's World,,$16.75,"Exploring American History, 2nd Edition"
Exploring Countries and Cultures 3rd Ed Teacher's Manual,https://www.mfwbooks.com/item/95102/,My Father's World,Grades 2-8,$144.45,Exploring Countries and Cultures 3rd Ed Teacher's Manual
Exploring Countries and Cultures Package 3rd Edition,https://www.mfwbooks.com/item/95101/,My Father's World,"Grade 1, Grade 10, Grade 11, Grade 12, Grade 2, Grade 3, Grade 6, Grade 9, Grades 2-6, Grades 4-8, Grades 7-12, Grades 9-12, Grades K-3, Kindergarten, Preschool, Grades 2-8",$508.16-$597.83,Exploring Countries and Cultures Package 3rd Edition
"Exploring Creation with Astronomy, 2nd Edition",https://www.mfwbooks.com/item/13505/,My Father's World,,$55.00,"Exploring Creation with Astronomy, 2nd Edition"
Exploring Creation with Botany,https://www.mfwbooks.com/item/14501/,My Father's World,,$55.00,Exploring Creation with Botany
Exploring Creation with Chemistry and Physics,https://www.mfwbooks.com/item/15503/,My Father's World,Grades 7-12,$55.00,Exploring Creation with Chemistry and Physics
